n,tempo
1000078800000,0.005000
1000078900000,0.006000
1000079000000,0.002000
1000079100000,0.010000
1000079200000,0.003000
1000079300000,0.009000
1000079400000,0.007000
1000079500000,0.005000
1000079600000,0.005000
1000079700000,0.002000
1000079800000,0.005000
1000079900000,0.004000
1000080000000,0.008000
1000080100000,0.006000
1000080200000,0.004000
1000080300000,0.005000
1000080400000,0.006000
1000080500000,0.007000
1000080600000,0.003000
1000080700000,0.009000
1000080800000,0.003000
1000080900000,0.008000
1000081000000,0.007000
1000081100000,0.005000
1000081200000,0.006000
1000081300000,0.006000
1000081400000,0.006000
1000081500000,0.007000
1000081600000,0.007000
1000081700000,0.002000
1000081800000,0.011000
1000081900000,0.005000
1000082000000,0.004000
1000082100000,0.008000
1000082200000,0.007000
1000082300000,0.008000
1000082400000,0.010000
1000082500000,0.013000
1000082600000,0.008000
1000082700000,0.009000
1000082800000,0.012000
1000082900000,0.010000
1000083000000,0.010000
1000083100000,0.011000
1000083200000,0.010000
1000083300000,0.010000
1000083400000,0.009000
1000083500000,0.012000
1000083600000,0.011000
1000083700000,0.011000
1000083800000,0.010000
1000083900000,0.011000
1000084000000,0.011000
1000084100000,0.010000
1000084200000,0.012000
1000084300000,0.009000
1000084400000,0.019000
1000084500000,0.009000
1000084600000,0.003000
1000084700000,0.010000
1000084800000,0.006000
1000084900000,0.004000
1000085000000,0.006000
1000085100000,0.005000
1000085200000,0.006000
1000085300000,0.012000
1000085400000,0.029000
1000085500000,0.012000
1000085600000,0.010000
1000085700000,0.018000
1000085800000,0.011000
1000085900000,0.010000
1000086000000,0.006000
1000086100000,0.005000
1000086200000,0.006000
1000086300000,0.006000
1000086400000,0.004000
1000086500000,0.007000
1000086600000,0.006000
1000086700000,0.005000
1000086800000,0.006000
1000086900000,0.003000
1000087000000,0.009000
1000087100000,0.004000
1000087200000,0.005000
1000087300000,0.005000
1000087400000,0.004000
1000087500000,0.009000
1000087600000,0.005000
1000087700000,0.007000
1000087800000,0.006000
1000087900000,0.008000
1000088000000,0.008000
1000088100000,0.006000
1000088200000,0.006000
1000088300000,0.006000
1000088400000,0.006000
1000088500000,0.003000
1000088600000,0.009000
1000088700000,0.004000
1000088800000,0.007000
1000088900000,0.006000
1000089000000,0.005000
1000089100000,0.007000
1000089200000,0.006000
1000089300000,0.007000
1000089400000,0.006000
1000089500000,0.006000
1000089600000,0.002000
1000089700000,0.009000
1000089800000,0.005000
1000089900000,0.005000
1000090000000,0.002000
1000090100000,0.010000
1000090200000,0.005000
1000090300000,0.004000
1000090400000,0.005000
1000090500000,0.002000
1000090600000,0.009000
1000090700000,0.004000
1000090800000,0.005000
1000090900000,0.005000
1000091000000,0.005000
1000091100000,0.002000
1000091200000,0.008000
1000091300000,0.008000
1000091400000,0.006000
1000091500000,0.006000
1000091600000,0.004000
1000091700000,0.002000
1000091800000,0.009000
1000091900000,0.004000
1000092000000,0.006000
1000092100000,0.006000
1000092200000,0.005000
1000092300000,0.005000
1000092400000,0.004000
1000092500000,0.006000
1000092600000,0.001000
1000092700000,0.004000
1000092800000,0.007000
1000092900000,0.004000
1000093000000,0.006000
1000093100000,0.005000
1000093200000,0.006000
1000093300000,0.007000
1000093400000,0.004000
1000093500000,0.009000
1000093600000,0.004000
1000093700000,0.006000
1000093800000,0.005000
1000093900000,0.006000
1000094000000,0.003000
1000094100000,0.009000
1000094200000,0.005000
1000094300000,0.006000
1000094400000,0.001000
1000094500000,0.009000
1000094600000,0.003000
1000094700000,0.008000
1000094800000,0.005000
1000094900000,0.004000
1000095000000,0.006000
1000095100000,0.003000
1000095200000,0.008000
1000095300000,0.004000
1000095400000,0.007000
1000095500000,0.006000
1000095600000,0.005000
1000095700000,0.006000
1000095800000,0.005000
1000095900000,0.004000
1000096000000,0.004000
1000096100000,0.002000
1000096200000,0.010000
1000096300000,0.003000
1000096400000,0.009000
1000096500000,0.005000
1000096600000,0.006000
1000096700000,0.006000
1000096800000,0.002000
1000096900000,0.008000
1000097000000,0.004000
1000097100000,0.005000
1000097200000,0.006000
1000097300000,0.006000
1000097400000,0.004000
1000097500000,0.004000
1000097600000,0.005000
1000097700000,0.002000
1000097800000,0.009000
1000097900000,0.003000
1000098000000,0.007000
1000098100000,0.007000
1000098200000,0.005000
1000098300000,0.006000
1000098400000,0.005000
1000098500000,0.005000
1000098600000,0.004000
1000098700000,0.007000
1000098800000,0.002000
1000098900000,0.009000
1000099000000,0.004000
1000099100000,0.006000
1000099200000,0.006000
1000099300000,0.004000
1000099400000,0.005000
1000099500000,0.004000
1000099600000,0.007000
1000099700000,0.004000
1000099800000,0.006000
1000099900000,0.003000
1000100000000,0.008000
